Date,Y_Close,X_Close,beta_kf,alpha_kf,beta_kf_mean,beta_kf_std,alpha_kf_mean,alpha_kf_std,idx_trend_strength,idx_vol_z,corr_z,spread,spread_log_change,ou_theta,ou_mu,ou_sigma,half_life_days,ou_std,spread_centered,ou_z,abs_ou_z,upper,lower,ou_mu_change,ou_mu_stable,reversion_pressure,expected_reversion_days,ou_snr,ou_tradeable,beta_drift,beta_cv,trend_conflict,signals_per_year,signals_per_year_log,Y,X,target
2025-07-04,213.1013336181641,39.79999923706055,4.960753096583039,14.080654874969746,4.91381414669453,0.04533296125979984,14.055747304942967,0.07119518371743475,0.22611594113499475,-0.9664450698040246,1.8230955987523392,1.5827092839436432,-0.32563180695526156,-0.2452880318773037,0.3706163079473625,4.458656322321031,1.8702554790394998,5.1787713566413025,1.8279973158209468,0.35297895773612536,0.35297895773612536,10.357542713282605,-10.357542713282605,0.0,1,0.13081975809927088,0.5653946835139237,0.018643031344673267,1,0.019116813679006136,0.009225615765361178,0,0.0,0.0,AAPL,GFS,-0.09581477073702367
2025-07-04,243.85092163085935,159.3221435546875,1.4863254272962696,7.234392570576862,1.5110296632956102,0.030116520688071753,7.166897637921521,0.04122464616193606,0.22611594113499475,-0.9664450698040246,1.205628316815929,-0.1880240363960013,-1.2237281653590537,0.039784418835685405,1.3157242142646912,4.13084021439964,0.5268179859008821,2.546484076137873,-0.2278084552316867,-0.08945999598677741,0.08945999598677741,5.092968152275746,-5.092968152275746,0.0,1,0.11770468292782514,0.04513890135512241,0.07710598239612874,1,0.013614425002735919,0.019931124728806805,0,0.0,0.0,ADI,NVDA,-1.6194129714307113
2025-07-04,243.85092163085935,39.79999923706055,5.851999308298602,10.358254103735012,5.744563353666929,0.09904136084849795,10.324421385911833,0.053877416482231336,0.22611594113499475,-0.9664450698040246,1.52069912796275,0.5830995215611097,-0.32563180394497787,1.0908290220968146,0.41373888215075355,3.9672825504052693,1.6753252122612543,4.361290002438905,-0.507729500535705,-0.11641727568030887,0.11641727568030887,8.72258000487781,-8.72258000487781,0.0,1,0.048166353503007096,0.1844946814004864,0.026286942341746746,1,0.0214822626845637,0.017240885816896222,0,0.0,0.0,ADI,GFS,-5.113708911557273
2025-07-04,243.85092163085935,122.04922485351562,1.9087466086177909,10.608644071685598,1.848657173839565,0.06809858619037185,10.528727933023987,0.0573118745895701,0.22611594113499475,-0.9664450698040246,1.5044390108221808,0.2812335355955895,-0.9596910069971908,-0.1945628786867209,0.7652467889183198,3.9503158354804384,0.9057825404791471,3.193126057966713,0.4757964142823104,0.1490064612686426,0.1490064612686426,6.386252115933426,-6.386252115933426,0.0,1,0.11402671601391072,0.12581104113469307,0.049038578936313276,1,0.019615016017297298,0.03683678464240864,0,0.0,0.0,ADI,MU,-1.317923116062043
2025-07-04,326.80999755859375,201.82000732421875,1.6085686183931163,1.704370437984339,1.5131955711207052,0.047073250934809095,1.6692496524863998,0.02703562335299932,0.22611594113499475,-0.9664450698040246,0.7509632012343931,0.4642967750022535,-1.5029715097267828,-0.04800569361954074,1.9742735573075285,3.2979904349170788,0.3510897352569744,1.659704339520112,0.5123024686217943,0.30867092193656714,0.30867092193656714,3.319408679040224,-3.319408679040224,0.0,1,0.6094008390891008,0.09444737250082341,0.18151333877130296,1,0.01959859512864788,0.03110850430255068,0,0.0,0.0,CDNS,PANW,-4.20971125600371
2025-07-04,778.1629638671875,201.82000732421875,3.8355685007338645,4.647287784150742,3.8088016695123446,0.058684724577345054,4.546148985672055,0.0532903955785022,0.22611594113499475,-0.9664450698040246,1.0252672439919301,-0.5787868276145218,-1.5029715130394092,0.2362100780483429,1.6825983227268992,6.292875047225296,0.4119504763540937,3.4303930573152277,-0.8149969056628648,-0.23758120193396035,0.23758120193396035,6.860786114630455,-6.860786114630455,0.0,1,0.39975373188552243,0.08781088198286739,0.042489560108900495,1,0.030809374502979953,0.01540766090476396,0,0.0,0.0,INTU,PANW,-6.177127054869947
2025-07-04,316.6600036621094,514.0999755859375,0.6118235901981226,2.1346263546488395,0.6145229861380366,0.010919413201904996,2.114956391867198,0.011473447368637809,0.22611594113499475,-0.9664450698040246,0.8054513391610617,-0.013115476294956352,-2.974129513566517,-0.05578526847980515,1.9594273279620738,1.0701702001913398,0.35374987919601053,0.5405965568291183,0.0426697921848488,0.07893093591851465,0.07893093591851465,1.0811931136582367,-1.0811931136582367,0.0,1,0.15465943286036082,0.026874617718378967,1.7108953809916092,1,0.008993990097926416,0.01776892557026701,0,0.0,0.0,ADSK,CRWD,0.7201094703020973
2025-07-04,243.85092163085935,921.02685546875,0.26456121755532425,0.1830568975734841,0.264578047777495,0.004793238458619622,0.1811004135654794,0.0016962732226021968,0.22611594113499475,-0.9664450698040246,1.0487476907964242,-0.0001215506783012188,-4.069748975375943,-0.010697016533438025,2.97615217361892,0.25394992008996725,0.23290045001868878,0.10408916292568446,0.010575465855136806,0.10160006630745287,0.10160006630745287,0.20817832585136892,-0.20817832585136892,0.0,1,0.3023772581807523,0.02253631594207569,46.148646953976204,1,0.0024234597515538146,0.018116538763830636,0,0.0,0.0,ADI,KLAC,-0.9293285296358709
2025-07-04,230.00775146484375,548.739990234375,0.4187315935500292,0.2530645912794064,0.4324466046179839,0.00935167703602634,0.24387314603221505,0.0033271363628204482,0.22611594113499475,-0.9664450698040246,0.4403894809845388,-0.020083681902974604,-3.092552512837093,-0.0004817978443024726,16.13011905648858,1.9546778301796945,0.04297222966132519,0.3441449514885773,-0.01960188405867213,-0.05695822058084948,0.05695822058084948,0.6882899029771546,-0.6882899029771546,0.0,1,0.9187428792148402,0.0023804543839123526,4.221698346858942,1,0.005289009383565106,0.021625044424357212,0,0.0,0.0,NXPI,SNPS,-2.529566958808575
2025-07-04,316.6600036621094,39.79999923706055,7.425844082348776,19.91644939016807,7.379173973718143,0.05135828483648973,19.823216073268604,0.11780701332560525,0.22611594113499475,-0.9664450698040246,1.8916332991199063,1.194965459929449,-0.32563180638537914,1.1367283835151034,0.4553158349099105,6.445486016042843,1.5223436731496336,6.754361417392354,0.05823707641434561,0.008622143947522002,0.008622143947522002,13.508722834784708,-13.508722834784708,0.0,1,0.003925798670179412,0.01306960290920059,0.010959769323201442,1,0.027002710477941064,0.006959896191553245,0,0.0,0.0,ADSK,GFS,-346.9413030284884
