Sno,Date,Close,High,Low,Open,Volume
0,1993-01-29,24.31302833557129,24.330320674359033,24.20927430284481,24.330320674359033,1003200
1,1993-02-01,24.4859561920166,24.485956192016605,24.33032511452497,24.33032511452497,480500
2,1993-02-02,24.5378475189209,24.55513987094269,24.416801054768364,24.468678110833736,201300
3,1993-02-03,24.797222137451172,24.81451448203796,24.55512931323617,24.572421657822954,529400
4,1993-02-04,24.900978088378906,24.952855126063028,24.607008208168875,24.883685742484197,531500
5,1993-02-05,24.883699417114258,24.935576483306992,24.745360573933638,24.883699417114258,492100
6,1993-02-08,24.883699417114258,24.970161194102147,24.849114706319103,24.883699417114258,596100
7,1993-02-09,24.71076011657715,24.7972218384686,24.65888308344228,24.7972218384686,122100
8,1993-02-10,24.74535369873047,24.762646049323575,24.64159959517185,24.710768997544264,379600
9,1993-02-11,24.866395950317383,24.97015003634096,24.779934211964402,24.779934211964402,19500
10,1993-02-12,24.676172256469727,24.831803335872827,24.676172256469727,24.831803335872827,42500
11,1993-02-16,24.053653717041016,24.60700879895713,24.019069024421256,24.60700879895713,374800
12,1993-02-17,24.036361694335938,24.088238733964,23.9498999616225,24.053654040878627,210900
13,1993-02-18,24.019071578979492,24.31304149751272,23.69051696414824,24.31304149751272,378100
14,1993-02-19,24.105531692504883,24.105531692504883,23.98448526363291,24.01906995759633,34900
15,1993-02-22,24.191993713378906,24.22657840775114,24.105531977448315,24.17470136619279,513600
16,1993-02-23,24.174686431884766,24.27844045090573,24.053640076360306,24.261148114402236,373700
17,1993-02-24,24.4859561920166,24.485956192016605,24.191986378976857,24.191986378976857,26300
18,1993-02-25,24.5378475189209,24.55513987094269,24.416801054768364,24.468678110833736,44500
19,1993-02-26,24.572418212890625,24.589710555053106,24.45137181775323,24.589710555053106,66200
20,1993-03-01,24.503259658813477,24.65889080696402,24.468674959224465,24.65889080696402,66500
21,1993-03-02,24.866395950317383,24.866395950317386,24.48596430156427,24.52054899690546,182400
22,1993-03-03,24.970138549804688,24.98743088952062,24.8663845115091,24.900969190940963,280100
23,1993-03-04,24.831804275512695,25.00472770361515,24.831804275512695,25.00472770361515,89500
24,1993-03-05,24.76263427734375,24.970142385813112,24.745341934971304,24.86638833157843,40000
25,1993-03-08,25.315988540649414,25.315988540649414,24.814510625568246,24.814510625568246,50800
26,1993-03-09,25.229543685913086,25.281420746267944,25.177666625558228,25.264128392816325,169300
27,1993-03-10,25.281415939331055,25.28141593933105,25.125784787857743,25.22953888883995,194400
28,1993-03-11,25.212236404418945,25.367867493335112,25.177651717993133,25.298698120483483,70900
29,1993-03-12,24.95284080505371,25.022010148934662,24.797209781321566,25.004717812964422,643600
30,1993-03-15,25.07388687133789,25.07388687133789,24.9355481851512,24.9355481851512,310800
31,1993-03-16,25.07388687133789,25.143056214431237,25.07388687133789,25.07388687133789,30800
32,1993-03-17,24.91827392578125,25.03932036400503,24.883689229145883,25.03932036400503,21800
33,1993-03-18,25.07388687133789,25.17764088597791,25.022009864017882,25.022009864017882,59300
