Y,X,coint_pval,beta_ols,beta_kf,alpha_kf,ou_mu,ou_std,half_life_days,signals_per_year,theta,adf_pval
AAPL,GFS,0.034529756845793916,-0.6278079066617291,1.0681374495991072,1.1156023822292782,0.2746096981627891,0.033248708006433855,2.524117630212195,6.105726872246696,0.005019035636399859,7.563485624224927e-24
ADI,AVGO,0.017104849694394242,0.24382849811150095,0.893340797098313,1.041769103496541,0.29120754319864633,0.025236673922719527,2.3802514623981326,6.938325991189427,-0.004584578277670016,1.0407431947612087e-15
ADI,GFS,0.04101386454239697,-0.501575226679094,1.0725843825568733,1.1059026195724935,0.2738371278595068,0.02943586123252632,2.5312388644229684,6.938325991189427,0.004746936918541975,9.414870040534068e-25
ADI,KLAC,0.008942034655637534,0.4174158995980673,0.7117110209489247,0.7325731198173161,0.3385746124863554,0.015365997951088829,2.0472509012703344,8.325991189427313,-0.0010683414840646761,3.519561293491378e-27
ADI,MSFT,0.04674989480014549,0.6192299397166656,0.7641542139801023,0.7559170279770548,0.4031704123452897,0.018137856897603912,1.7192411926456275,8.048458149779735,0.00037930603283102554,8.451964174936384e-21
ADI,MU,0.03893726345905881,0.3825329324159354,0.9447296083477615,1.0590233198207293,0.256680260703337,0.030597749693794737,2.700430405753184,8.603524229074889,-0.0033095982981155804,2.9297726202624804e-19
ADI,NVDA,0.039330233090626374,0.18187801638888682,0.9821630305908514,1.3733642426702133,0.25343494064632377,0.03775387028744567,2.735010329642168,7.215859030837004,-0.009375382854623837,3.8374627867139426e-26
ADP,GFS,0.0030420126854745337,-0.498904024615568,1.1095018075979732,1.2121452871511902,0.27101219808734467,0.03739613715823987,2.5576235514556083,8.603524229074889,0.002859385594814991,1.8098916771720264e-23
ADSK,AVGO,0.0032421287390755928,0.24487131137229487,0.9320247341561793,1.088691611680457,0.32771436132380233,0.027437147746250567,2.115095529411579,6.383259911894273,-0.00512005783622851,3.481826413516219e-15
ADSK,CRWD,0.03561521061612638,0.3120776307938487,0.8355854830713733,0.8881454893804167,0.32247974995714523,0.024835103697741407,2.149428547535337,6.6607929515418505,-0.0011848808622982902,3.5957068295789637e-13
ADSK,CTSH,0.032982236549567966,1.2132582549633018,1.056716209844654,1.01931640633988,0.3374286768874714,0.02223760182418319,2.0542035340733706,8.881057268722467,0.0010195372379064739,2.616316887414366e-28
ADSK,GFS,9.567564008970824e-05,-0.6068468566674695,1.1146243996848682,1.1715120911114982,0.29007466931548986,0.03554727956582419,2.389547429962136,9.991189427312776,0.004210830757385977,2.2486658254635487e-24
ADSK,PANW,0.041353025825906255,0.46291941521922314,0.915597091373932,0.9890850166071483,0.31820385154335673,0.02674574518729042,2.1783117243805603,6.105726872246696,-0.001101250893069513,2.5920889628363404e-21
ATD.TO,QSR.TO,0.025222734406100948,0.8161425023714416,0.7727871411468729,0.7892892652821768,0.3384670715065767,0.016980982519382255,2.0479013733141747,8.881057268722467,-0.00041049283072071383,5.711468018701606e-19
BKNG,MELI,0.026658979349633228,1.021039973239034,0.9707939830903877,1.0174403488532255,0.46165598176157613,0.021931104560215648,1.5014365846946258,7.493392070484582,-0.00023220135392173756,6.896338539577566e-20
BN.TO,CM.TO,0.01898857372700503,0.9670501394547414,0.7140703160306182,0.677993234659062,0.3179156526404887,0.018590832960537103,2.1802864212659037,8.881057268722467,0.0004268256103926119,1.197057698937272e-26
CAE.TO,CNR.TO,0.014588068961090744,-1.4752453460082389,0.5681841580637121,0.5741557326691175,0.2927863444013186,0.022916350882394937,2.367416356036937,5.5506607929515415,0.0009668425530628678,5.441337147793067e-23
CCO.TO,IMO.TO,0.02615254789375707,1.5451529922009215,0.7572468058661945,0.6942173160619766,0.27061285770834764,0.03407508850391387,2.5613978080338775,8.325991189427313,0.0039792756969396,1.6918388310978598e-21
CDNS,INTU,0.006982628098649045,1.0675745464671371,0.7603622588235602,0.7274840975430008,0.35597033587970606,0.01869341473575331,1.9472048951690801,7.770925110132159,0.000798292385777811,4.742026489994975e-18
CDNS,MSFT,0.0005578731270752195,0.9420750257564542,0.8074054476737741,0.7658517575677385,0.41125081758742266,0.01736477535131184,1.6854609180505709,7.493392070484582,0.0006507989815526301,1.7746905485761538e-28
CDNS,NVDA,0.02627193804056055,0.2637516661034323,1.0407624250058494,1.3901273058803785,0.25157456319881555,0.037048913034795156,2.755235552221397,8.048458149779735,-0.009196767197960589,2.3180332940415405e-26
CDNS,PANW,0.01562513805623326,0.6802138744549483,0.9268090777052175,0.9685746567867989,0.3191660880664996,0.028271637105657024,2.17174445054302,6.6607929515418505,-0.00017861731327758733,6.435790017250898e-22
CP.TO,TRI.TO,0.0015524207058161487,0.17592238345025926,0.7395898550115136,0.7633047422213008,0.42265972464014945,0.014468035403703202,1.6399650597181636,8.325991189427313,-0.0005695959855638096,7.956748792740881e-21
CP.TO,WCN.TO,0.003763490779182312,0.20629569065397643,0.7295970262112267,0.7377645330101219,0.4303891153917716,0.013481240687715562,1.6105128028830193,10.268722466960352,-0.0007379401457100883,4.9338381954370876e-30
CP.TO,WSP.TO,0.0062944748607282235,0.1536172729292569,0.7335582643982708,0.7484038593774424,0.4521627833624052,0.012558579604503493,1.5329593811448052,8.603524229074889,-0.0009951719092252654,2.177529673094224e-30
CSX,CTAS,0.0156592896463366,0.17423946955073377,0.57142942593271,0.5956379478775459,0.37821738731591475,0.013649711248086048,1.8326687344518569,9.991189427312776,-0.0008646629536052688,6.864781029994051e-13
CSX,PCAR,0.028019576992618214,0.2449880630795538,0.6335008723964205,0.6705154443046634,0.3206321890547357,0.014761497314771528,2.1618140792520895,7.770925110132159,-0.001372313647075361,1.8214782003524743e-20
CTSH,GFS,0.03084937085527917,-0.3383982196823652,0.8521618236425068,0.9250868184544068,0.2748329178709926,0.027933612360790675,2.522067538086215,7.493392070484582,0.002422055397885472,5.488999010793982e-24
CTSH,MRVL,0.03630846889367998,0.3288125770275629,0.7915229251008775,0.9672957536248379,0.2842792065412578,0.03362482132356658,2.438261978402377,6.105726872246696,-0.0010865472263050216,7.766700086635497e-19
CTSH,PANW,0.018488560684057794,0.2965347521128543,0.699253962886917,0.7917304924893857,0.34454464246919914,0.02254729145732178,2.0117775612253492,7.215859030837004,-0.001436453196631563,1.5325383958743494e-26
