Date,Rank,Y,X,spread_centered,ou_z,upper,lower,beta_kf
2025-11-24,1.0,LRCX,MSFT,0.4134257708860407,2.5360613709571087,0.3260376705552784,-0.3260376705552784,0.31582006028994314
2025-11-24,2.0,CNR.TO,CP.TO,-1.7562496201990392,-3.0,1.1447801544016356,-1.1447801544016356,1.299822434377335
2025-11-24,3.0,AVGO,KLAC,0.28543736217992344,2.297533550837982,0.2484728565341869,-0.2484728565341869,0.3315215084516518
2025-11-24,4.0,LRCX,NXPI,1.4670850699866895,2.5156182592850644,1.1663813176516165,-1.1663813176516165,0.7769239461742475
2025-11-25,1.0,ADI,CDNS,1.6840372528217729,2.8204675520828735,1.194154672389786,-1.194154672389786,0.8172051215696162
2025-11-25,2.0,AMAT,MSFT,0.5871200294572313,2.287545119860703,0.5133188625306618,-0.5133188625306618,0.5069868858234073
2025-11-25,3.0,AMAT,NXPI,3.0524296159118802,3.0,1.8826469252372817,-1.8826469252372817,1.252481296867658
2025-11-25,4.0,EA,META,-0.2665547509422076,-2.032917349160542,0.26223865033399096,-0.26223865033399096,0.3166633255382499
2025-11-25,5.0,LRCX,NVDA,1.6823841972807163,2.1859229264461315,1.5392895851236006,-1.5392895851236006,0.8316029385433252
2025-11-26,1.0,PAYX,ZS,2.316449573032539,3.0,0.8069709609459998,-0.8069709609459998,0.42310066866900975
2025-11-26,2.0,FTNT,ZS,1.707773533687986,3.0,0.5552461327574358,-0.5552461327574358,0.3091339780758712
2025-11-26,3.0,DDOG,ZS,3.2428102458217607,3.0,1.1517081675734697,-1.1517081675734697,0.6106074434385867
2025-11-26,4.0,CSCO,WDAY,1.0731379363036933,3.0,0.5320908435753537,-0.5320908435753537,0.34543186384691704
2025-11-26,5.0,PAYX,WDAY,1.6707280368665776,3.0,0.9017988625644332,-0.9017988625644332,0.5037832895745548
2025-11-26,6.0,FTNT,WDAY,1.2300884856237781,2.690062944714371,0.9145425299736903,-0.9145425299736903,0.3656342811190586
2025-11-28,1.0,AEM.TO,WPM.TO,-1.605952742138956,-2.36553179310671,1.357794257357936,-1.357794257357936,1.5926279691590675
2025-12-01,1.0,FTNT,ZS,0.630819054474758,2.2722141308468573,0.5552461327574358,-0.5552461327574358,0.3297835941142758
2025-12-01,2.0,CNQ.TO,IMO.TO,0.4701896250469694,2.340448428795714,0.4017944760174931,-0.4017944760174931,0.3387147995938202
2025-12-01,3.0,AEM.TO,WPM.TO,-1.602613800757271,-2.3606136085384795,1.357794257357936,-1.357794257357936,1.5709907004023809
2025-12-01,6.0,LRCX,NXPI,-1.2542382542653612,-2.03222981817235,1.2343468667272466,-1.2343468667272466,0.7817974785732745
2025-12-02,1.0,MCHP,ROP,0.2118820178249795,2.6725168820104432,0.1585636515535033,-0.1585636515535033,0.1271727213130024
2025-12-02,3.0,NXPI,ROP,1.036177394086984,3.0,0.48281133842406104,-0.48281133842406104,0.48015967855077646
2025-12-02,5.0,AMD,NXPI,-4.729731808483288,-3.0,3.036153820888788,-3.036153820888788,1.0209025512725554
2025-12-02,6.0,LRCX,NXPI,-2.1848066880788095,-3.0,1.2343468667272466,-1.2343468667272466,0.7441087194846081
2025-12-02,7.0,MSFT,NXPI,-7.85649857391463,-3.0,4.8460083467089055,-4.8460083467089055,2.2894824458003513
2025-12-02,8.0,AMAT,NXPI,-2.2918457927710216,-2.2505739754732854,2.0366767035854103,-2.0366767035854103,1.2421140049683976
2025-12-02,9.0,CNQ.TO,IMO.TO,0.5279840685686202,2.6281300519703175,0.4017944760174931,-0.4017944760174931,0.3450955657105822
2025-12-02,10.0,ABNB,DASH,-1.4803095687834393,-2.069537128097528,1.4305706804537976,-1.4305706804537976,0.5419482899745136
2025-12-03,1.0,MCHP,MSFT,0.5009440542235736,3.0,0.17169594919402847,-0.17169594919402847,0.13209595260174511
2025-12-03,2.0,MCHP,ROP,0.4513237420607641,3.0,0.1596753384309469,-0.1596753384309469,0.1416149989932659
2025-12-03,3.0,MCHP,PANW,1.5238836414705825,3.0,0.8314747102938004,-0.8314747102938004,0.3177959444881676
2025-12-03,4.0,MCHP,NVDA,2.168638382656844,3.0,0.9546090708902815,-0.9546090708902815,0.3294355409745382
