Date,returns,HMM Prob(R0),HMM Prob(R1),Signal [RF],signal
2017-12-12,0.001764762293513078,0.1,0.9,0.5338918620303477,2.0
2017-12-13,-0.00011229119698719092,0.1,0.9,0.5646172641041303,2.0
2017-12-14,-0.004086195803020276,0.1,0.9,0.5798488420409161,2.0
2017-12-15,0.008327296177847998,0.1,0.9,0.5571436911503833,2.0
2017-12-18,0.006341317740573782,0.1,0.9,0.4624465006474515,2.0
2017-12-19,-0.003840332411460756,0.1,0.9,0.525124009243849,2.0
2017-12-20,-0.0005245567737216517,0.1,0.9,0.5773376244807993,2.0
2017-12-21,0.002060272542134811,0.1,0.9,0.5654205320822769,2.0
2017-12-22,-0.00026161881295017064,0.1,0.9,0.5256483675593647,2.0
2017-12-26,-0.0011965700601790363,0.1,0.9,0.5662914648883018,2.0
2017-12-27,0.0004865175728907545,0.1,0.9,0.5926795938016259,2.0
2017-12-28,0.002057585702913256,0.1,0.9,0.5562433686997131,2.0
2017-12-29,-0.0037704794708007805,0.1,0.9,0.5210780403551493,2.0
2018-01-02,0.0071571181149929775,0.1,0.9,0.6416281793916496,2.0
2018-01-03,0.006325453240557,0.1,0.9,0.46740422688049166,2.0
2018-01-04,0.004214787363910677,0.1,0.9,0.47136280823162147,2.0
2018-01-05,0.006663910108708482,0.1,0.9,0.47285393523621405,2.0
2018-01-08,0.0018289725902513876,0.1,0.9,0.47302700992498803,2.0
2018-01-09,0.002263319919342255,0.1,0.9,0.46993550252466737,2.0
2018-01-10,-0.0015301696139959908,0.1,0.9,0.49944654747884687,2.0
2018-01-11,0.007296454923286566,0.1,0.9,0.5237286874105744,2.0
2018-01-12,0.006518730150842256,0.1,0.9,0.45609420038461007,2.0
2018-01-16,-0.0034182226061184595,0.1,0.9,0.4932049944085537,2.0
2018-01-17,0.009531530616461836,0.1,0.9,0.5897988037235515,2.0
2018-01-18,-0.0016808411603870255,0.1,0.9,0.4915663034001425,2.0
2018-01-19,0.004549753211011032,0.1,0.9,0.5757139197930818,2.0
2018-01-22,0.008131193842499718,0.1,0.9,0.4856041018962004,2.0
2018-01-23,0.0021222467289423452,0.1,0.9,0.4965498438521435,2.0
2018-01-24,-0.00038822112759007155,0.1,0.9,0.4870851150438969,2.0
2018-01-25,0.0004236175649532381,0.1,0.9,0.5892133723836451,2.0
2018-01-26,0.011577952542795256,0.1,0.9,0.6153718043987704,2.0
