Date,Rank,Y,X,spread_centered,ou_z,upper,lower,beta_kf
2025-11-24,1.0,LRCX,MSFT,0.4134257708860407,2.5360613709571087,0.3260376705552784,-0.3260376705552784,0.31582006028994314
2025-11-24,2.0,CNR.TO,CP.TO,-1.7562496201990392,-3.0,1.1447801544016356,-1.1447801544016356,1.299822434377335
2025-11-24,3.0,AVGO,KLAC,0.28543736217992344,2.297533550837982,0.2484728565341869,-0.2484728565341869,0.3315215084516518
2025-11-24,4.0,LRCX,NXPI,1.4670850699866895,2.5156182592850644,1.1663813176516165,-1.1663813176516165,0.7769239461742475
2025-11-24,5.0,ADI,AVGO,-1.3697223307232047,-1.8989705723035608,1.4425945832974678,-1.4425945832974678,0.6208524181834422
2025-11-24,6.0,EA,GOOG,-1.4339586553858301,-1.630519283251867,1.7588981254192577,-1.7588981254192577,0.6299667960555112
2025-11-24,7.0,EA,META,-0.24220376922180475,-1.8472011575206821,0.26223865033399096,-0.26223865033399096,0.32760249270981334
2025-11-24,8.0,EA,GOOGL,-1.4438548343789226,-1.6190202684158153,1.783615514327947,-1.783615514327947,0.6295598076847119
2025-11-24,9.0,FTNT,INTU,0.06904487795857057,1.1008092497214368,0.12544385501128846,-0.12544385501128846,0.1218953432495597
2025-11-24,10.0,PAYX,SNPS,-0.4700317812259595,-1.1021117762117691,0.852965717944826,-0.852965717944826,0.2700571554580146
2025-11-24,11.0,LRCX,NVDA,1.338397566036311,1.738980863602532,1.5392895851236006,-1.5392895851236006,0.8035362353285157
2025-11-24,12.0,CDNS,SNPS,-0.7506449594014629,-0.837206020077562,1.7932144332452848,-1.7932144332452848,0.7503279198780431
2025-11-24,13.0,MCHP,ROP,0.0897460106546521,1.1374105097134617,0.15780759873101763,-0.15780759873101763,0.11633435269326783
2025-11-24,14.0,AMAT,MSFT,0.3520464375949424,1.3716481637138895,0.5133188625306618,-0.5133188625306618,0.48631087141333046
2025-11-24,15.0,FTNT,SNPS,-0.19178156677836744,-0.7105604950497352,0.5398036285846255,-0.5398036285846255,0.19609870034279708
2025-11-24,16.0,CAE.TO,CNR.TO,0.26481273125994004,1.1049215503418068,0.4793330914362569,-0.4793330914362569,0.2843485737054598
2025-11-24,17.0,CNQ.TO,IMO.TO,-0.22193413756021912,-1.1277865564402978,0.3935747172953072,-0.3935747172953072,0.33506120863559924
2025-11-24,18.0,FTNT,ROP,0.11156771230760311,0.8883941964646862,0.25116713448057276,-0.25116713448057276,0.18109931818510347
2025-11-24,19.0,PAYX,TXN,-0.8042547658478404,-0.9763855754456685,1.6474122233539563,-1.6474122233539563,0.6740129325446331
2025-11-24,20.0,BN.TO,CM.TO,0.46313114990671067,1.136859093601325,0.814755588468947,-0.814755588468947,0.5365271052733095
2025-11-25,1.0,ADI,CDNS,1.6840372528217729,2.8204675520828735,1.194154672389786,-1.194154672389786,0.8172051215696162
2025-11-25,2.0,AMAT,MSFT,0.5871200294572313,2.287545119860703,0.5133188625306618,-0.5133188625306618,0.5069868858234073
2025-11-25,3.0,AMAT,NXPI,3.0524296159118802,3.0,1.8826469252372817,-1.8826469252372817,1.252481296867658
2025-11-25,4.0,EA,META,-0.2665547509422076,-2.032917349160542,0.26223865033399096,-0.26223865033399096,0.3166633255382499
2025-11-25,5.0,LRCX,NVDA,1.6823841972807163,2.1859229264461315,1.5392895851236006,-1.5392895851236006,0.8316029385433252
2025-11-25,6.0,CSCO,WDAY,-0.47798700522171556,-1.8409769266588718,0.5192753893870885,-0.5192753893870885,0.326120833088354
2025-11-25,7.0,CAE.TO,CP.TO,-0.4856236713389434,-1.5314234049611142,0.6342121581343787,-0.6342121581343787,0.3634858113957032
2025-11-25,8.0,NXPI,ROP,-0.23516238561251734,-0.9850085769063364,0.4774829196941678,-0.4774829196941678,0.42632043356672317
2025-11-25,9.0,PAYX,QCOM,0.9801158126429448,1.057639282373159,1.8534028169674919,-1.8534028169674919,0.6679408816718041
2025-11-25,10.0,MCHP,NVDA,0.570616452490312,1.1715962595316958,0.974083773054031,-0.974083773054031,0.2754321641691343
2025-11-25,11.0,KDP,MNST,-0.5181942726397535,-1.150882604916067,0.9005163001443488,-0.9005163001443488,0.3607704559212193
