Date,Open,High,Low,Close,Volume,Adj Close
1993-01-29,24.330345487526778,24.330345487526778,24.209298992563955,24.313053131103516,1003200,24.313053131103516
1993-02-01,24.330353542909783,24.485984802246097,24.330353542909783,24.485984802246097,480500,24.485984802246097
1993-02-02,24.468674306889667,24.555136053557124,24.416797258889194,24.537843704223633,201300,24.537843704223633
1993-02-03,24.572408427420687,24.814501121286906,24.55511609214453,24.797208786010746,529400,24.797208786010746
1993-02-04,24.883691460556456,24.95286086002986,24.607013862662846,24.900983810424805,531500,24.900983810424805
1993-02-05,24.88368797302246,24.935565015356765,24.745349193464307,24.88368797302246,492100,24.88368797302246
1993-02-08,24.88368797302246,24.970149710246304,24.84910327813292,24.88368797302246,596100,24.88368797302246
1993-02-09,24.797239064669757,24.797239064669757,24.658900213541894,24.710777282714844,122100,24.710777282714844
1993-02-10,24.71075947412988,24.762636505916017,24.641590098415033,24.745344161987305,379600,24.745344161987305
1993-02-11,24.779924708380985,24.9701404598061,24.779924708380985,24.86638641357422,19500,24.86638641357422
1993-02-12,24.83181677151996,24.83181677151996,24.676185607910156,24.676185607910156,42500,24.676185607910156
1993-02-16,24.607004896502627,24.607004896502627,24.01906521520882,24.05364990234375,374800,24.05364990234375
1993-02-17,24.053652132157797,24.088236822498786,23.94989806113483,24.036359786987305,210900,24.036359786987305
1993-02-18,24.31305115097628,24.31305115097628,23.69052637043919,24.019081115722656,378100,24.019081115722656
1993-02-19,24.01906615658162,24.105527877807617,23.98448146809122,24.105527877807617,34900,24.105527877807617
1993-02-22,24.174695648236987,24.22657267752505,24.105526275852903,24.191987991333008,513600,24.191987991333008
1993-02-23,24.261159599424264,24.278451944113804,24.053651463149787,24.17469787597656,373700,24.17469787597656
1993-02-24,24.19201464572195,24.485984802246097,24.19201464572195,24.485984802246097,26300,24.485984802246097
1993-02-25,24.468674306889667,24.555136053557124,24.416797258889194,24.537843704223633,44500,24.537843704223633
1993-02-26,24.589704828980437,24.589704828980437,24.45136612389475,24.572412490844727,66200,24.572412490844727
1993-03-01,24.658894645890133,24.658894645890133,24.468678768537544,24.503263473510746,66500,24.503263473510746
1993-03-02,24.52053959280128,24.86638641357422,24.485954910723983,24.86638641357422,182400,24.86638641357422
1993-03-03,24.90097489713632,24.987436615529155,24.866390209779187,24.970144271850582,280100,24.970144271850582
1993-03-04,25.00472578298415,25.00472578298415,24.831802368164062,24.831802368164062,89500,24.831802368164062
1993-03-05,24.86639407759938,24.970148155809117,24.74534765302136,24.76263999938965,40000,24.76263999938965
1993-03-08,24.81450314730243,25.31598091125488,24.81450314730243,25.315980911254883,50800,25.315980911254883
1993-03-09,25.264120752963404,25.28141310118583,25.177659011851276,25.229536056518555,169300,25.229536056518555
1993-03-10,25.229523661361675,25.281400680541992,25.125769623001037,25.281400680541992,194400,25.281400680541992
1993-03-11,25.29870768993153,25.36787708894706,25.177661241654345,25.21224594116211,70900,25.21224594116211
1993-03-12,25.004738837418586,25.022031187928555,24.797230631298927,24.952861785888672,643600,24.952861785888672
1993-03-15,24.935565256579167,25.073904037475582,24.935565256579167,25.073904037475582,310800,25.073904037475582
1993-03-16,25.073904037475582,25.14307342792379,25.073904037475582,25.073904037475582,30800,25.073904037475582
1993-03-17,25.03932036400503,25.03932036400503,24.883689229145883,24.91827392578125,21800,24.91827392578125
1993-03-18,25.02202699463943,25.177658123147896,25.02202699463943,25.073904037475582,59300,25.073904037475582
1993-03-19,25.174936040419,25.174936040419,25.03594398498535,25.03594398498535,66900,24.82294398498535
1993-03-22,24.79271903107903,24.94908516372074,24.775345016341067,24.896963119506836,183400,24.683963119506835
